time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
-0.014,0,,,,,,,,,,,,,,,,,,,,,,,
-0.014,,0,,,,,,,,,,,,,,,,,,,,,,
-0.014,,,0,,,,,,,,,,,,,,,,,,,,,
-0.014,,,,0,,,,,,,,,,,,,,,,,,,,
-0.014,,,,,0,,,,,,,,,,,,,,,,,,,
-0.014,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.031,0,,,,,,,,,,,,,,,,,,,,,,,
-0.031,,0,,,,,,,,,,,,,,,,,,,,,,
-0.031,,,0,,,,,,,,,,,,,,,,,,,,,
-0.031,,,,0,,,,,,,,,,,,,,,,,,,,
-0.031,,,,,0,,,,,,,,,,,,,,,,,,,
-0.031,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.048,0,,,,,,,,,,,,,,,,,,,,,,,
-0.048,,0,,,,,,,,,,,,,,,,,,,,,,
-0.048,,,0,,,,,,,,,,,,,,,,,,,,,
-0.048,,,,0,,,,,,,,,,,,,,,,,,,,
-0.048,,,,,0,,,,,,,,,,,,,,,,,,,
-0.048,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.064,0,,,,,,,,,,,,,,,,,,,,,,,
-0.064,,0,,,,,,,,,,,,,,,,,,,,,,
-0.064,,,0,,,,,,,,,,,,,,,,,,,,,
-0.064,,,,0,,,,,,,,,,,,,,,,,,,,
-0.064,,,,,0,,,,,,,,,,,,,,,,,,,
-0.064,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.081,0,,,,,,,,,,,,,,,,,,,,,,,
-0.081,,0,,,,,,,,,,,,,,,,,,,,,,
-0.081,,,0,,,,,,,,,,,,,,,,,,,,,
-0.081,,,,0,,,,,,,,,,,,,,,,,,,,
-0.081,,,,,0,,,,,,,,,,,,,,,,,,,
-0.081,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.099,0,,,,,,,,,,,,,,,,,,,,,,,
-0.099,,0,,,,,,,,,,,,,,,,,,,,,,
-0.099,,,0,,,,,,,,,,,,,,,,,,,,,
-0.099,,,,0,,,,,,,,,,,,,,,,,,,,
-0.099,,,,,0,,,,,,,,,,,,,,,,,,,
